accuracy,f1_score,precision,recall,model
0.4957448234269249,0.4870134296816416,0.4917400881057269,0.4823767724510466,LSTM
0.5027139315151109,0.48390013213714445,0.4988528821336392,0.4698176907494936,LSTM
0.5027139315151109,0.48390013213714445,0.4988528821336392,0.4698176907494936,LSTM
0.5011726864571466,0.45956149266734425,0.496938294865756,0.4274139095205942,SRNN
0.49835823895999465,0.5200051295203898,0.4950555487730436,0.5476029709655638,LSTM
0.5045902298465456,0.31704387990762123,0.5017543859649123,0.23173531397704253,SRNN
0.5019768143134758,0.43293148176407753,0.49763199438694966,0.38311951384199866,CNN
0.5030489847885814,0.16354613128806678,0.49623545516769335,0.09790681971640783,CNN
0.501373718421229,0.5068593014778978,0.4976574700676731,0.5164078325455773,LSTM
0.4973530791395832,0.560805667779144,0.49503824684721937,0.6467251856853478,SRNN
0.4984922602693828,0.5355591411195234,0.4954644620507521,0.5827143821742066,LSTM
0.5096160289486028,0.40859867464037497,0.5087542765143892,0.34139095205941933,LSTM
0.5040541446089928,0.002695054574855141,0.625,0.0013504388926401081,CNN
0.5037861019902165,0.0,0.0,0.0,CNN
0.5037861019902165,0.0005398839249561345,0.5,0.0002700877785280216,CNN
0.4974871004489714,0.543495464783588,0.49479051208157837,0.6028359216745443,LSTM
0.5059651474530831,0.17577993961757798,0.5107212475633528,0.10615883306320907,LSTM
0.5010053619302949,0.4712733470634188,0.4969297588737457,0.4481361426256078,SRNN
0.5017426273458445,0.5048621286798988,0.4980289093298292,0.5118854673149649,LSTM
0.5,0.5816040381379697,0.4973144062919624,0.7002971366828741,LSTM
0.4958445040214477,0.552953762034946,0.4937380598599024,0.6283090221501891,CNN
0.5037861019902165,0.0,0.0,0.0,CNN
0.5009716544930644,0.568864702136282,0.49787190920145924,0.6634706279540851,LSTM
0.5037861019902165,0.0,0.0,0.0,CNN
0.5045232191918515,0.523827923750644,0.500677089745168,0.549223497636732,CNN
0.504121155263687,0.5371528646484863,0.5002912734475126,0.5798784604996624,CNN
0.505528379012263,0.5466609326042883,0.5014652840396754,0.6008102633355841,LSTM
0.5002345372914293,0.5075927637660108,0.4965766696809198,0.5191087103308575,CNN
0.5038531126449105,0.5751176403075864,0.500049895220038,0.6767049291019581,LSTM
0.5037861019902165,0.0,0.0,0.0,SRNN
0.5037861019902165,0.0,0.0,0.0,SRNN
0.5037861019902165,0.0,0.0,0.0,LSTM
0.5109934307547929,0.32857800276115967,0.5154490326306671,0.24115104025938935,LSTM
0.5061000134066229,0.33006001091107473,0.5047274749721913,0.24520399891921102,SRNN
0.5036197881753586,0.0026936026936026937,0.43478260869565216,0.0013509862199405566,CNN
0.503954953747151,0.0005402485143165856,1.0,0.0002701972439881113,CNN
0.5082450730660947,0.29515757109915447,0.5109780439121756,0.20751148338286948,LSTM
0.5069714438932833,0.29367137232305773,0.5078047160411824,0.2065657930289111,LSTM
0.5044241855476606,0.08739661770151834,0.5064377682403434,0.047824912185895706,LSTM
0.49631317871028285,0.6541471048513302,0.49609047752024577,0.9600108078897596,LSTM
0.5057648478348304,0.3091914175958025,0.5044328951391012,0.22291272629019185,LSTM
0.5038208875184341,0.0,0.0,0.0,SRNN
0.5002010993430754,0.17265867731913004,0.4832298136645963,0.1051067279113753,CNN
0.5038208875184341,0.0,0.0,0.0,LSTM
0.5038208875184341,0.0,0.0,0.0,LSTM
0.5079099074943022,0.12845779413510625,0.5298726738491675,0.0730883544987841,LSTM
0.4961791124815659,0.6632616487455197,0.4961791124815659,1.0,CNN
0.5038208875184341,0.0,0.0,0.0,CNN
0.5038208875184341,0.0,0.0,0.0,LSTM
0.5038208875184341,0.0,0.0,0.0,CNN
0.5022120927738303,0.10937874790117534,0.48717948717948717,0.06160497162928938,CNN
0.5032846226035662,0.035658511192087454,0.4858156028368794,0.018508511213185627,CNN
0.49376592036466016,0.4506038120180416,0.48817780580075665,0.4184004323155904,CNN
0.49631317871028285,0.6632305485837218,0.4962441314553991,0.9995947041340179,LSTM
0.4987263708271886,0.4903217011995638,0.49477303988995874,0.4859497433126182,SRNN
0.5038208875184341,0.0,0.0,0.0,LSTM
0.5079099074943022,0.12845779413510625,0.5298726738491675,0.0730883544987841,CNN-LSTM
0.5079099074943022,0.12845779413510625,0.5298726738491675,0.0730883544987841,CNN-LSTM
0.4987263708271886,0.4903217011995638,0.49477303988995874,0.4859497433126182,SRNN
0.49376592036466016,0.4506038120180416,0.48817780580075665,0.4184004323155904,CNN
0.5116637618983778,0.36503094221215027,0.5143699336772292,0.28289651445555253,LSTM
0.5116637618983778,0.36503094221215027,0.5143699336772292,0.28289651445555253,LSTM
0.5036868212897171,0.0029625639644492324,0.4583333333333333,0.0014860848419346122,CNN-SRNN
0.5036868212897171,0.0029625639644492324,0.4583333333333333,0.0014860848419346122,CNN-SRNN
